               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.042289,            0.022797,           0.0041409,             0.57274,             0.63587,             0.57064,              0.2403,             0.04131,            0.010063,           0.0081522,           0.0093268,           0.0093268,           0.0093268
                  36,            0.042088,            0.022574,           0.0040759,             0.59072,             0.63522,             0.57737,             0.23948,             0.04186,            0.010007,           0.0085769,            0.009307,            0.009307,            0.009307
                  37,             0.04175,            0.022659,           0.0040652,             0.58789,             0.64471,             0.58689,             0.24784,            0.041268,            0.010037,           0.0078531,           0.0092872,           0.0092872,           0.0092872
                  38,            0.041705,            0.022392,           0.0042501,             0.57532,             0.63662,              0.5731,             0.24473,            0.041105,            0.010162,           0.0071575,           0.0092674,           0.0092674,           0.0092674
                  39,            0.041352,            0.022181,           0.0037556,             0.60359,             0.63771,             0.58884,             0.25105,            0.041232,            0.010106,           0.0077295,           0.0092476,           0.0092476,           0.0092476
                  40,            0.041422,            0.022244,           0.0038288,             0.58552,             0.62624,              0.5712,             0.24978,            0.041457,            0.010095,           0.0089129,           0.0092278,           0.0092278,           0.0092278
                  41,            0.041137,            0.022275,           0.0038801,             0.57661,             0.63726,             0.57948,             0.25138,            0.041436,            0.010127,           0.0084368,            0.009208,            0.009208,            0.009208
                  42,            0.041101,            0.022175,           0.0034261,              0.6012,             0.62579,             0.56729,             0.24374,            0.041934,            0.010066,            0.009179,           0.0091882,           0.0091882,           0.0091882
                  43,            0.041233,            0.022585,            0.003941,             0.57645,              0.6318,             0.56576,             0.24034,            0.041674,            0.010096,           0.0082197,           0.0091684,           0.0091684,           0.0091684
                  44,            0.040725,            0.021954,           0.0036115,             0.58541,             0.63923,             0.58268,             0.24803,            0.041481,            0.010134,           0.0088654,           0.0091486,           0.0091486,           0.0091486
                  45,            0.040899,            0.022529,           0.0038439,             0.57948,             0.63227,             0.57698,             0.24323,            0.041773,            0.010084,           0.0083334,           0.0091288,           0.0091288,           0.0091288
                  46,            0.040412,            0.022166,            0.003969,             0.59279,             0.63432,             0.58485,             0.25073,            0.041923,            0.010151,           0.0082134,            0.009109,            0.009109,            0.009109
                  47,            0.040894,            0.022205,           0.0039234,               0.581,              0.6462,             0.57646,             0.25204,            0.041709,            0.010081,           0.0081293,           0.0090892,           0.0090892,           0.0090892
