                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5797,                 1.7223,                 1.9145,                0.59695,                0.59605,                0.57864,                0.27462,                 1.8728,                 1.6169,                  2.291,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.5762,                 1.7165,                  1.902,                0.59663,                0.63314,                0.59672,                0.27562,                 1.9016,                 1.5814,                 2.3009,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.5642,                 1.7007,                 1.8967,                 0.6191,                0.62416,                0.59006,                0.27143,                 1.8977,                 1.5744,                 2.3048,               0.009307,               0.009307,               0.009307
                     38,                 1.5575,                 1.6908,                 1.8877,                0.62008,                 0.6034,                0.59918,                0.28006,                 1.8817,                 1.5615,                 2.2948,              0.0092872,              0.0092872,              0.0092872
                     39,                  1.564,                 1.6886,                 1.8886,                0.59966,                0.61517,                0.59185,                0.27235,                 1.9024,                 1.5599,                 2.3227,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.5516,                 1.6611,                 1.8827,                0.61648,                0.61512,                 0.5917,                0.27405,                 1.8908,                  1.551,                 2.3187,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.5469,                 1.6353,                 1.8702,                0.59818,                0.61087,                 0.5907,                0.27717,                  1.906,                 1.5591,                 2.2912,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.5343,                 1.6432,                 1.8628,                0.61199,                0.62067,                0.59185,                0.27776,                 1.9109,                  1.555,                 2.3255,               0.009208,               0.009208,               0.009208
                     43,                 1.5332,                 1.6385,                 1.8597,                0.59365,                 0.6123,                0.58042,                0.27654,                 1.9117,                 1.5586,                  2.306,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.5357,                 1.6325,                 1.8606,                0.60611,                0.60721,                 0.5931,                0.27766,                 1.9214,                 1.5534,                 2.3256,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.5132,                 1.6162,                  1.844,                0.61287,                0.60035,                0.59365,                0.27567,                 1.9114,                 1.5365,                 2.3122,              0.0091486,              0.0091486,              0.0091486
                     46,                   1.52,                 1.6176,                 1.8476,                0.60166,                0.61179,                0.59271,                0.27372,                 1.9104,                 1.5487,                 2.3201,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.5263,                 1.6098,                  1.852,                0.60232,                0.61719,                0.59031,                0.27333,                  1.909,                 1.5609,                 2.3207,               0.009109,               0.009109,               0.009109
                     48,                 1.5103,                 1.5897,                 1.8332,                0.60752,                0.62594,                0.60173,                0.27575,                  1.911,                  1.533,                 2.3058,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.5001,                 1.5805,                 1.8301,                0.60723,                0.60498,                0.58538,                0.27784,                 1.9022,                  1.529,                 2.3063,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.5037,                 1.5786,                 1.8287,                0.58962,                0.63476,                0.59449,                0.28087,                 1.9272,                 1.5418,                 2.3337,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.5061,                 1.5626,                 1.8198,                0.58222,                0.63178,                0.59358,                 0.2811,                 1.9164,                 1.5277,                 2.3172,              0.0090298,              0.0090298,              0.0090298
                     52,                   1.49,                 1.5516,                  1.811,                0.57522,                0.64849,                 0.5985,                 0.2818,                 1.9221,                 1.5195,                 2.3125,                0.00901,                0.00901,                0.00901
                     53,                  1.487,                 1.5599,                 1.8103,                0.59507,                0.63717,                0.59644,                0.28154,                 1.9224,                 1.5176,                 2.3186,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.4868,                 1.5408,                 1.8189,                0.60087,                0.62081,                0.59727,                 0.2821,                 1.9093,                 1.5123,                 2.3085,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.4686,                 1.5283,                 1.8037,                0.59671,                0.62295,                0.59517,                0.28322,                 1.9033,                 1.5182,                 2.3054,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.4716,                 1.5176,                 1.7931,                0.59855,                  0.622,                0.58914,                0.28351,                 1.9161,                 1.5159,                 2.3182,              0.0089308,              0.0089308,              0.0089308
                     57,                  1.473,                 1.5291,                 1.7951,                0.56736,                0.63759,                0.58385,                0.28225,                 1.9121,                 1.5273,                 2.3163,               0.008911,               0.008911,               0.008911
                     58,                 1.4655,                 1.5159,                 1.7892,                0.57299,                0.64407,                0.58971,                   0.28,                 1.9178,                 1.5187,                 2.3179,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.4553,                 1.5076,                 1.7869,                0.57698,                0.64456,                0.59123,                0.28177,                 1.9176,                 1.5151,                 2.3215,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.4544,                 1.4954,                 1.7857,                0.58378,                0.62904,                0.59113,                 0.2826,                 1.9258,                 1.5145,                 2.3343,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.4488,                 1.4843,                 1.7772,                0.58123,                0.62172,                0.58433,                 0.2804,                 1.9409,                 1.5093,                 2.3403,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.4646,                 1.4857,                  1.783,                0.58589,                0.62076,                0.59012,                0.28382,                 1.9379,                 1.5114,                 2.3366,               0.008812,               0.008812,               0.008812
                     63,                 1.4376,                 1.4919,                 1.7695,                0.57992,                0.62442,                0.58504,                 0.2827,                 1.9327,                 1.5218,                 2.3369,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.4363,                 1.4748,                 1.7638,                0.55547,                0.62498,                0.57798,                0.28068,                 1.9397,                  1.527,                 2.3372,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.4404,                 1.4734,                 1.7711,                0.56076,                0.62387,                0.57621,                0.28102,                 1.9434,                  1.528,                 2.3409,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.4343,                 1.4607,                 1.7623,                0.56672,                 0.6414,                0.58296,                0.28271,                 1.9425,                 1.5202,                 2.3443,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.4335,                 1.4525,                 1.7599,                0.56911,                0.62361,                0.58044,                0.27976,                 1.9459,                 1.5232,                 2.3576,               0.008713,               0.008713,               0.008713
                     68,                 1.4233,                 1.4551,                 1.7516,                 0.5711,                0.62885,                0.58389,                0.27887,                 1.9479,                  1.526,                 2.3615,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.4278,                 1.4328,                 1.7489,                0.57664,                0.62736,                0.58468,                0.27838,                 1.9551,                 1.5276,                 2.3659,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.4126,                 1.4205,                 1.7403,                0.57129,                0.61708,                0.58292,                0.27829,                 1.9559,                 1.5167,                 2.3662,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.4137,                 1.4241,                 1.7395,                0.56014,                0.62188,                0.58162,                0.27862,                  1.959,                 1.5109,                 2.3698,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.4168,                  1.431,                 1.7459,                0.56517,                 0.6243,                0.58947,                0.28027,                 1.9613,                 1.4974,                 2.3751,               0.008614,               0.008614,               0.008614
                     73,                 1.4184,                  1.428,                 1.7378,                0.55414,                 0.6367,                0.58865,                0.27948,                 1.9619,                 1.4985,                 2.3737,              0.0085942,              0.0085942,              0.0085942
                     74,                  1.408,                 1.4168,                 1.7342,                0.55821,                0.63611,                0.58722,                0.27744,                 1.9667,                 1.5004,                 2.3752,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.4028,                 1.4072,                 1.7312,                0.57207,                0.62447,                 0.5812,                0.27661,                 1.9692,                  1.499,                 2.3792,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.4073,                  1.397,                 1.7283,                0.56736,                0.63504,                0.58482,                0.27803,                 1.9715,                 1.4974,                 2.3828,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.3952,                 1.3839,                 1.7161,                0.55983,                0.64537,                0.58458,                  0.278,                 1.9764,                 1.5032,                 2.3867,               0.008515,               0.008515,               0.008515
                     78,                 1.3899,                 1.4026,                 1.7178,                0.56091,                0.64353,                0.58394,                0.27811,                  1.981,                 1.5021,                 2.3918,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.3994,                 1.3993,                 1.7206,                0.56143,                0.64258,                0.58267,                0.27784,                 1.9822,                 1.5014,                  2.393,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.3885,                 1.3982,                  1.706,                0.55849,                0.64821,                0.58388,                0.27798,                 1.9798,                 1.4989,                 2.3914,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.3833,                 1.3712,                 1.7051,                0.57387,                0.63473,                 0.5834,                 0.2787,                 1.9824,                 1.4933,                 2.3949,              0.0084358,              0.0084358,              0.0084358
                     82,                  1.382,                 1.3731,                 1.7051,                 0.5682,                0.63135,                 0.5803,                0.27776,                 1.9811,                 1.4936,                 2.3937,               0.008416,               0.008416,               0.008416
                     83,                 1.3859,                 1.3768,                  1.711,                0.57619,                0.63362,                0.58159,                0.27677,                 1.9816,                 1.4959,                 2.3945,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.3804,                 1.3742,                  1.699,                0.57489,                0.62125,                0.58108,                0.27636,                 1.9846,                 1.5021,                 2.3985,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.3625,                  1.356,                 1.6967,                0.57515,                0.62334,                0.57839,                0.27628,                 1.9916,                 1.5044,                  2.408,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.3698,                 1.3561,                 1.6932,                0.57003,                0.62398,                0.57629,                0.27404,                 1.9973,                 1.5043,                 2.4165,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.3709,                 1.3506,                 1.6912,                0.57231,                 0.6254,                0.57763,                0.27424,                 1.9983,                 1.5049,                 2.4202,               0.008317,               0.008317,               0.008317
                     88,                 1.3598,                 1.3482,                 1.6831,                 0.5734,                0.62347,                0.57586,                  0.274,                 1.9967,                 1.5017,                 2.4186,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.3636,                 1.3436,                 1.6864,                0.57309,                0.62275,                0.57483,                0.27397,                 1.9962,                 1.5033,                 2.4197,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.3601,                 1.3347,                 1.6794,                0.57013,                 0.6241,                0.57293,                0.27414,                 1.9976,                 1.5041,                 2.4205,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.3679,                 1.3479,                 1.6881,                0.56229,                0.62343,                0.57035,                0.27386,                 1.9988,                 1.5039,                 2.4244,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.3538,                 1.3212,                 1.6782,                0.55941,                 0.6278,                0.56874,                0.27314,                 2.0011,                 1.5059,                 2.4266,               0.008218,               0.008218,               0.008218
                     93,                 1.3514,                 1.3204,                  1.669,                0.55067,                 0.6439,                0.57064,                0.27298,                 2.0036,                 1.5047,                 2.4297,              0.0081982,              0.0081982,              0.0081982
                     94,                 1.3462,                 1.3285,                 1.6679,                0.54873,                0.64346,                0.56964,                0.27222,                 2.0063,                 1.5039,                 2.4354,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.3485,                 1.3169,                 1.6692,                0.55447,                0.63824,                0.56971,                0.27295,                 2.0071,                  1.506,                 2.4362,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.3419,                 1.3063,                 1.6571,                0.55554,                0.64065,                0.57015,                0.27176,                 2.0101,                 1.5052,                 2.4387,              0.0081388,              0.0081388,              0.0081388
                     97,                   1.34,                 1.2993,                 1.6615,                0.55816,                0.64096,                0.57048,                0.27165,                 2.0125,                 1.5067,                 2.4417,               0.008119,               0.008119,               0.008119
                     98,                 1.3381,                 1.2891,                 1.6605,                0.55851,                0.63431,                0.56931,                0.27114,                 2.0167,                 1.5073,                 2.4458,              0.0080992,              0.0080992,              0.0080992
                     99,                 1.3261,                 1.2949,                 1.6472,                0.55616,                0.63284,                0.56848,                0.27034,                 2.0192,                 1.5124,                 2.4486,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.3293,                  1.297,                 1.6441,                0.55715,                0.63779,                0.56939,                 0.2703,                  2.023,                 1.5111,                  2.452,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.3327,                 1.3055,                 1.6519,                0.55976,                0.63144,                0.56613,                0.26934,                 2.0276,                 1.5089,                 2.4571,              0.0080398,              0.0080398,              0.0080398
                    102,                 1.3245,                 1.2906,                 1.6422,                0.55547,                0.63514,                0.56525,                0.26974,                 2.0302,                 1.5103,                 2.4602,                0.00802,                0.00802,                0.00802
                    103,                  1.322,                 1.2959,                 1.6427,                0.55488,                0.62857,                0.56407,                0.26877,                 2.0319,                 1.5116,                 2.4603,              0.0080002,              0.0080002,              0.0080002
                    104,                  1.327,                  1.293,                 1.6473,                0.55849,                0.62895,                 0.5638,                0.26877,                 2.0337,                 1.5104,                 2.4613,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.3202,                 1.2769,                 1.6402,                 0.5594,                0.62902,                 0.5651,                0.26904,                 2.0369,                 1.5107,                 2.4638,              0.0079606,              0.0079606,              0.0079606
                    106,                 1.3104,                 1.2706,                 1.6343,                0.56187,                0.62644,                0.56459,                0.26836,                 2.0383,                 1.5102,                 2.4649,              0.0079408,              0.0079408,              0.0079408
                    107,                 1.3205,                 1.2748,                 1.6331,                0.56227,                0.62558,                0.56464,                0.26809,                 2.0383,                 1.5108,                 2.4645,               0.007921,               0.007921,               0.007921
                    108,                 1.3045,                 1.2638,                 1.6325,                0.55521,                0.63106,                0.56452,                0.26803,                 2.0391,                 1.5115,                 2.4663,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.3001,                 1.2574,                 1.6238,                0.55154,                0.62839,                0.56393,                0.26704,                 2.0408,                 1.5117,                 2.4684,              0.0078814,              0.0078814,              0.0078814
                    110,                 1.3107,                 1.2578,                 1.6303,                0.54493,                0.63743,                0.56383,                 0.2668,                 2.0424,                 1.5118,                 2.4711,              0.0078616,              0.0078616,              0.0078616
                    111,                 1.3052,                 1.2606,                 1.6267,                0.54254,                0.63653,                 0.5642,                0.26601,                 2.0438,                 1.5134,                  2.474,              0.0078418,              0.0078418,              0.0078418
                    112,                 1.2874,                 1.2378,                 1.6132,                0.54072,                0.63751,                0.56333,                0.26587,                  2.045,                 1.5165,                 2.4761,               0.007822,               0.007822,               0.007822
                    113,                 1.2905,                 1.2464,                 1.6188,                0.53909,                0.63489,                 0.5612,                0.26534,                 2.0459,                 1.5174,                 2.4784,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.2958,                 1.2644,                 1.6216,                0.53567,                0.63675,                0.55928,                0.26509,                  2.048,                 1.5172,                 2.4818,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.2914,                 1.2397,                 1.6127,                0.53662,                0.63921,                0.55951,                0.26514,                 2.0501,                 1.5173,                 2.4849,              0.0077626,              0.0077626,              0.0077626
                    116,                 1.2826,                   1.24,                 1.6119,                0.53656,                 0.6298,                0.55816,                 0.2645,                  2.052,                 1.5168,                 2.4881,              0.0077428,              0.0077428,              0.0077428
                    117,                 1.2763,                 1.2306,                  1.599,                0.53632,                0.63062,                0.55649,                0.26481,                 2.0527,                 1.5189,                 2.4893,               0.007723,               0.007723,               0.007723
                    118,                 1.2847,                 1.2392,                 1.6075,                0.53739,                0.63299,                0.55597,                0.26418,                 2.0537,                 1.5198,                 2.4914,              0.0077032,              0.0077032,              0.0077032
                    119,                 1.2756,                 1.2415,                  1.602,                 0.5375,                0.63691,                 0.5557,                0.26458,                 2.0557,                 1.5184,                 2.4954,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.2761,                 1.2204,                 1.5944,                0.53849,                0.63628,                0.55606,                0.26437,                 2.0571,                 1.5195,                  2.497,              0.0076636,              0.0076636,              0.0076636
                    121,                 1.2725,                 1.2219,                 1.5978,                0.53916,                0.63697,                0.55502,                0.26423,                 2.0584,                  1.519,                 2.4988,              0.0076438,              0.0076438,              0.0076438
                    122,                 1.2757,                 1.2153,                 1.6065,                0.53729,                0.63342,                0.55479,                0.26382,                 2.0589,                 1.5199,                 2.5002,               0.007624,               0.007624,               0.007624
                    123,                 1.2679,                 1.2261,                 1.5951,                0.53719,                0.63233,                0.55366,                0.26335,                 2.0593,                 1.5204,                 2.5021,              0.0076042,              0.0076042,              0.0076042
                    124,                 1.2662,                 1.2125,                 1.5966,                0.53831,                0.63365,                0.55362,                 0.2639,                 2.0606,                   1.52,                 2.5046,              0.0075844,              0.0075844,              0.0075844
                    125,                 1.2635,                 1.2109,                 1.5839,                0.53861,                 0.6376,                  0.553,                0.26369,                 2.0612,                 1.5223,                 2.5061,              0.0075646,              0.0075646,              0.0075646
                    126,                 1.2671,                 1.2121,                 1.5905,                0.53845,                 0.6345,                0.55201,                0.26301,                 2.0619,                 1.5227,                 2.5075,              0.0075448,              0.0075448,              0.0075448
                    127,                 1.2639,                 1.2028,                 1.5883,                0.53821,                 0.6301,                0.55151,                0.26311,                 2.0622,                 1.5232,                 2.5082,               0.007525,               0.007525,               0.007525
                    128,                  1.266,                 1.2197,                 1.5864,                0.54004,                0.63633,                0.55234,                0.26304,                  2.063,                 1.5229,                 2.5093,              0.0075052,              0.0075052,              0.0075052
                    129,                 1.2567,                 1.1983,                 1.5796,                0.53821,                0.63269,                 0.5511,                0.26298,                 2.0632,                 1.5232,                 2.5101,              0.0074854,              0.0074854,              0.0074854
                    130,                 1.2525,                 1.1972,                 1.5784,                0.53678,                0.63279,                0.55039,                0.26267,                 2.0636,                 1.5233,                 2.5111,              0.0074656,              0.0074656,              0.0074656
                    131,                 1.2508,                 1.1855,                 1.5697,                 0.5301,                0.64228,                0.54999,                 0.2623,                 2.0644,                 1.5232,                  2.513,              0.0074458,              0.0074458,              0.0074458
                    132,                 1.2378,                 1.1805,                 1.5623,                0.53349,                0.63704,                0.54987,                0.26219,                 2.0641,                 1.5254,                 2.5127,               0.007426,               0.007426,               0.007426
                    133,                 1.2403,                  1.182,                 1.5643,                0.53377,                0.63327,                0.54867,                0.26204,                 2.0654,                 1.5252,                 2.5144,              0.0074062,              0.0074062,              0.0074062
                    134,                 1.2382,                 1.1757,                 1.5653,                0.53407,                0.63149,                0.54837,                0.26149,                 2.0672,                 1.5259,                 2.5166,              0.0073864,              0.0073864,              0.0073864
                    135,                   1.24,                  1.182,                 1.5603,                 0.5376,                 0.6317,                0.54817,                0.26171,                 2.0673,                 1.5268,                 2.5186,              0.0073666,              0.0073666,              0.0073666
                    136,                  1.249,                 1.1801,                 1.5662,                 0.5383,                   0.63,                0.54813,                0.26143,                 2.0688,                 1.5275,                 2.5208,              0.0073468,              0.0073468,              0.0073468
                    137,                 1.2334,                 1.1738,                 1.5566,                0.52972,                0.63419,                0.54773,                0.26113,                 2.0696,                 1.5305,                 2.5217,               0.007327,               0.007327,               0.007327
                    138,                 1.2365,                 1.1818,                 1.5635,                0.53126,                0.63335,                0.54795,                0.26081,                 2.0706,                 1.5325,                 2.5233,              0.0073072,              0.0073072,              0.0073072
                    139,                 1.2215,                 1.1563,                 1.5516,                0.53264,                0.63301,                0.54793,                 0.2607,                 2.0713,                 1.5328,                  2.525,              0.0072874,              0.0072874,              0.0072874
                    140,                 1.2354,                 1.1765,                 1.5611,                0.53181,                0.63407,                0.54681,                0.26025,                  2.073,                  1.533,                 2.5278,              0.0072676,              0.0072676,              0.0072676
                    141,                 1.2222,                 1.1634,                 1.5509,                0.53117,                0.63694,                0.54659,                0.25995,                 2.0736,                 1.5346,                 2.5289,              0.0072478,              0.0072478,              0.0072478
