                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5443,                 1.6681,                 1.9126,                0.62814,                0.58464,                0.59352,                0.27592,                 1.8681,                 1.6487,                 2.3261,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.5428,                  1.649,                 1.9052,                0.61827,                0.58928,                 0.5989,                0.28244,                 1.8874,                 1.5985,                 2.3536,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.5381,                 1.6286,                 1.9022,                0.62487,                0.60213,                0.59775,                0.28067,                 1.8905,                  1.611,                 2.3215,               0.009307,               0.009307,               0.009307
                     38,                 1.5266,                 1.6259,                 1.8955,                 0.6059,                0.59612,                0.59713,                0.28212,                 1.8815,                 1.6222,                 2.3375,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.5189,                 1.6113,                 1.8899,                0.60935,                0.59834,                0.59866,                0.28228,                 1.8891,                 1.6166,                 2.3601,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.5253,                 1.6156,                 1.8868,                0.59537,                0.61849,                0.59936,                0.28417,                 1.9177,                  1.607,                 2.3651,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.5144,                 1.5934,                 1.8792,                0.60336,                0.60809,                0.60448,                0.28553,                  1.882,                 1.5899,                 2.3481,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.5182,                 1.5908,                 1.8798,                0.61784,                0.60453,                0.60925,                0.28717,                 1.8967,                 1.5804,                 2.3555,               0.009208,               0.009208,               0.009208
                     43,                 1.4962,                 1.5837,                 1.8671,                0.62291,                 0.6098,                 0.6125,                0.28543,                 1.9017,                 1.5897,                 2.3268,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.5029,                 1.5748,                 1.8671,                0.63521,                0.60201,                0.59832,                  0.288,                 1.8874,                 1.5616,                  2.342,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.4928,                  1.554,                 1.8566,                0.62979,                0.59457,                0.60985,                0.29144,                 1.9092,                  1.549,                 2.3598,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.5002,                 1.5483,                 1.8651,                0.61393,                0.62997,                0.61111,                0.28872,                 1.9161,                 1.5642,                 2.3586,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.4836,                  1.534,                 1.8502,                0.61426,                0.60569,                0.60286,                0.29008,                 1.9051,                 1.5552,                 2.3462,               0.009109,               0.009109,               0.009109
                     48,                 1.4887,                  1.536,                 1.8488,                0.61516,                 0.6179,                0.61252,                0.29381,                 1.8998,                 1.5289,                 2.3428,              0.0090892,              0.0090892,              0.0090892
