                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5178,                 1.5582,                 1.7325,                  0.626,                0.60245,                0.60352,                0.27836,                  1.893,                 1.5615,                  2.189,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.5021,                 1.5364,                 1.7292,                0.60722,                0.60978,                 0.6034,                 0.2824,                 1.8822,                 1.5507,                 2.1873,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.4999,                 1.5304,                 1.7224,                0.60516,                 0.6169,                0.60156,                0.28057,                 1.8807,                 1.5507,                  2.175,               0.009307,               0.009307,               0.009307
                     38,                 1.4965,                 1.5347,                 1.7197,                0.61727,                0.62378,                 0.6059,                0.27935,                 1.9253,                  1.525,                 2.2052,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.4954,                 1.5133,                 1.7125,                 0.6453,                0.60286,                0.60954,                0.28365,                 1.8991,                 1.5301,                 2.1775,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.4876,                 1.5153,                 1.7137,                0.62235,                0.60692,                0.60037,                0.28057,                 1.8886,                 1.5206,                 2.1744,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.4844,                 1.4964,                  1.712,                0.59703,                0.63442,                0.60198,                0.28329,                 1.9165,                 1.5207,                  2.203,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.4765,                 1.4781,                 1.6985,                0.62115,                0.62506,                0.60758,                0.28002,                  1.917,                 1.5124,                 2.1983,               0.009208,               0.009208,               0.009208
                     43,                 1.4663,                 1.4802,                 1.6991,                0.60287,                0.62033,                0.59325,                0.28171,                 1.8896,                 1.5189,                 2.1851,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.4757,                 1.4901,                 1.6971,                0.61378,                 0.6241,                0.60742,                0.28602,                 1.9028,                 1.5064,                 2.1718,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.4621,                 1.4879,                 1.6906,                0.59875,                0.62064,                 0.6003,                0.27905,                 1.9027,                 1.5248,                 2.1964,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.4611,                   1.47,                 1.6861,                0.61796,                0.62257,                0.60043,                0.28188,                 1.9229,                 1.5023,                 2.2186,              0.0091288,              0.0091288,              0.0091288
