                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6492,                 2.0033,                 2.0572,                0.56105,                0.55851,                0.55697,                0.25417,                 1.8363,                 1.7308,                 2.3346,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.6471,                 1.9963,                 2.0475,                0.55754,                0.57373,                0.55242,                0.25251,                 1.8369,                 1.7415,                 2.3309,               0.009307,               0.009307,               0.009307
                     37,                 1.6413,                 1.9563,                 2.0387,                0.58492,                0.56688,                0.56014,                0.25337,                 1.8452,                 1.7256,                  2.316,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.6414,                  1.968,                 2.0415,                 0.5489,                0.56519,                0.55203,                0.25967,                 1.8273,                 1.7271,                 2.3171,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.6379,                 1.9565,                 2.0409,                0.56044,                0.57629,                0.55803,                0.25887,                 1.8063,                 1.7103,                 2.2982,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.6324,                 1.9555,                 2.0313,                0.58892,                0.56914,                 0.5755,                0.26805,                 1.8158,                 1.6944,                 2.2985,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.6197,                 1.9337,                 2.0206,                0.57252,                0.57606,                0.55483,                0.26243,                 1.8127,                 1.7159,                 2.2895,               0.009208,               0.009208,               0.009208
                     42,                 1.6366,                 1.9421,                 2.0331,                0.58548,                0.57253,                0.57183,                0.26786,                 1.8055,                 1.6893,                 2.2935,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.6151,                 1.9276,                 2.0187,                0.58009,                0.58667,                0.58531,                0.27464,                  1.812,                 1.6813,                 2.2902,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.6243,                 1.9134,                 2.0244,                0.59843,                0.58309,                0.57954,                0.27026,                 1.8231,                 1.6636,                 2.3022,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.6085,                  1.907,                 2.0164,                0.58414,                0.58363,                0.57932,                0.27262,                 1.8036,                 1.6824,                 2.3019,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.6161,                 1.9098,                  2.015,                0.59521,                0.58207,                0.58635,                0.27072,                 1.8176,                 1.6639,                 2.3016,               0.009109,               0.009109,               0.009109
                     47,                 1.6067,                 1.8826,                 2.0002,                0.58981,                0.58981,                0.59052,                0.27698,                 1.8143,                 1.6503,                 2.2925,              0.0090892,              0.0090892,              0.0090892
                     48,                  1.609,                 1.8791,                 2.0026,                0.62283,                0.58638,                0.59701,                0.27979,                 1.8114,                 1.6446,                 2.2851,              0.0090694,              0.0090694,              0.0090694
