                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6416,                 1.9644,                 1.9631,                0.56604,                0.58169,                0.55851,                0.25351,                 1.8839,                 1.7116,                 2.2804,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.6363,                 1.9535,                 1.9524,                0.60736,                0.57838,                 0.5717,                0.25911,                 1.8512,                 1.6954,                 2.2858,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.6322,                 1.9309,                 1.9539,                0.57695,                0.57431,                0.55921,                0.25822,                  1.871,                 1.6936,                 2.2849,               0.009307,               0.009307,               0.009307
                     38,                 1.6292,                  1.937,                  1.955,                0.58646,                0.57708,                0.56003,                0.25955,                 1.8747,                 1.6876,                 2.2784,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.6351,                 1.9326,                 1.9536,                 0.6143,                 0.5669,                0.57244,                 0.2647,                 1.8621,                 1.6727,                  2.274,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.6191,                 1.9165,                 1.9396,                0.59955,                0.58111,                0.58203,                0.26569,                 1.8712,                 1.6658,                 2.2802,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.6127,                 1.8851,                 1.9369,                0.62442,                0.57747,                 0.5831,                0.26889,                 1.8486,                 1.6662,                 2.2684,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.6179,                 1.8961,                 1.9378,                0.59287,                0.59244,                0.58063,                0.26983,                 1.8637,                 1.6555,                 2.2798,               0.009208,               0.009208,               0.009208
                     43,                  1.613,                 1.8859,                 1.9268,                0.59584,                0.59726,                 0.5768,                0.27093,                 1.8578,                 1.6497,                 2.2528,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.6189,                 1.8778,                 1.9319,                0.60402,                 0.5891,                0.57571,                0.26963,                 1.8641,                 1.6588,                 2.2699,              0.0091684,              0.0091684,              0.0091684
